"Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)"
"Mês","","Variável"
"Mês","","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","IPCA - Variação mensal (%)","IPCA - Variação acumulada em 3 meses (%)","IPCA - Variação acumulada em 6 meses (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)"
"novembro 1993","Brasil","73.0780465845240","35.56","146.33","456.88","1783.33","2258.68"
"dezembro 1993","Brasil","100.0000000000000","36.84","148.42","485.87","2477.15","2477.15"
"janeiro 1994","Brasil","141.3100000000000","41.31","162.13","533.33","41.31","2693.84"
"fevereiro 1994","Brasil","198.2200000000000","40.27","171.24","568.17","98.22","3035.71"
"março 1994","Brasil","282.9600000000000","42.75","182.96","602.93","182.96","3417.39"
"abril 1994","Brasil","403.7300000000000","42.68","185.71","648.92","303.73","3828.49"
"maio 1994","Brasil","581.4900000000000","44.03","193.36","695.71","481.49","4331.19"
"junho 1994","Brasil","857.2900000000000","47.43","202.97","757.29","757.29","4922.60"
"julho 1994","Brasil","915.9300000000000","6.84","126.87","548.17","815.93","4005.08"
"agosto 1994","Brasil","932.9700000000000","1.86","60.44","370.67","832.97","3044.89"
"setembro 1994","Brasil","947.2400000000000","1.53","10.49","234.76","847.24","2253.15"
"outubro 1994","Brasil","972.0600000000000","2.62","6.13","140.77","872.06","1703.17"
"novembro 1994","Brasil","999.3700000000000","2.81","7.12","71.86","899.37","1267.54"
"dezembro 1994","Brasil","1016.4600000000000","1.71","7.31","18.57","916.46","916.46"
"janeiro 1995","Brasil","1033.7400000000000","1.70","6.35","12.86","1.70","631.54"
"fevereiro 1995","Brasil","1044.2800000000000","1.02","4.49","11.93","2.74","426.83"
"março 1995","Brasil","1060.4700000000000","1.55","4.33","11.95","4.33","274.78"
"abril 1995","Brasil","1086.2400000000000","2.43","5.08","11.75","6.87","169.05"
"maio 1995","Brasil","1115.2400000000000","2.67","6.80","11.59","9.72","91.79"
"junho 1995","Brasil","1140.4400000000000","2.26","7.54","12.20","12.20","33.03"
"julho 1995","Brasil","1167.3500000000000","2.36","7.47","12.92","14.84","27.45"
"agosto 1995","Brasil","1178.9100000000000","0.99","5.71","12.89","15.98","26.36"
"setembro 1995","Brasil","1190.5800000000000","0.99","4.40","12.27","17.13","25.69"
"outubro 1995","Brasil","1207.3700000000000","1.41","3.43","11.15","18.78","24.21"
"novembro 1995","Brasil","1225.1200000000000","1.47","3.92","9.85","20.53","22.59"
"dezembro 1995","Brasil","1244.2300000000000","1.56","4.51","9.10","22.41","22.41"
"janeiro 1996","Brasil","1260.9000000000000","1.34","4.43","8.01","1.34","21.97"
"fevereiro 1996","Brasil","1273.8900000000000","1.03","3.98","8.06","2.38","21.99"
"março 1996","Brasil","1278.3500000000000","0.35","2.74","7.37","2.74","20.55"
"abril 1996","Brasil","1294.4600000000000","1.26","2.66","7.21","4.04","19.17"
"maio 1996","Brasil","1310.2500000000000","1.22","2.85","6.95","5.31","17.49"
"junho 1996","Brasil","1325.8400000000000","1.19","3.71","6.56","6.56","16.26"
"julho 1996","Brasil","1340.5600000000000","1.11","3.56","6.32","7.74","14.84"
"agosto 1996","Brasil","1346.4600000000000","0.44","2.76","5.70","8.22","14.21"
"setembro 1996","Brasil","1348.4800000000000","0.15","1.71","5.49","8.38","13.26"
"outubro 1996","Brasil","1352.5300000000000","0.30","0.89","4.49","8.70","12.02"
"novembro 1996","Brasil","1356.8600000000000","0.32","0.77","3.56","9.05","10.75"
"dezembro 1996","Brasil","1363.2400000000000","0.47","1.09","2.82","9.56","9.56"
"janeiro 1997","Brasil","1379.3300000000000","1.18","1.98","2.89","1.18","9.39"
"fevereiro 1997","Brasil","1386.2300000000000","0.50","2.16","2.95","1.69","8.82"
"março 1997","Brasil","1393.3000000000000","0.51","2.21","3.32","2.21","8.99"
"abril 1997","Brasil","1405.5600000000000","0.88","1.90","3.92","3.10","8.58"
"maio 1997","Brasil","1411.3200000000000","0.41","1.81","4.01","3.53","7.71"
"junho 1997","Brasil","1418.9400000000000","0.54","1.84","4.09","4.09","7.02"
"julho 1997","Brasil","1422.0600000000000","0.22","1.17","3.10","4.31","6.08"
"agosto 1997","Brasil","1421.7800000000000","-0.02","0.74","2.56","4.29","5.59"
"setembro 1997","Brasil","1422.6300000000000","0.06","0.26","2.11","4.36","5.50"
"outubro 1997","Brasil","1425.9000000000000","0.23","0.27","1.45","4.60","5.42"
"novembro 1997","Brasil","1428.3200000000000","0.17","0.46","1.20","4.77","5.27"
"dezembro 1997","Brasil","1434.4600000000000","0.43","0.83","1.09","5.22","5.22"
"janeiro 1998","Brasil","1444.6400000000000","0.71","1.31","1.59","0.71","4.73"
"fevereiro 1998","Brasil","1451.2900000000000","0.46","1.61","2.08","1.17","4.69"
"março 1998","Brasil","1456.2200000000000","0.34","1.52","2.36","1.52","4.52"
"abril 1998","Brasil","1459.7100000000000","0.24","1.04","2.37","1.76","3.85"
"maio 1998","Brasil","1467.0100000000000","0.50","1.08","2.71","2.27","3.95"
"junho 1998","Brasil","1467.3000000000000","0.02","0.76","2.29","2.29","3.41"
"julho 1998","Brasil","1465.5400000000000","-0.12","0.40","1.45","2.17","3.06"
"agosto 1998","Brasil","1458.0700000000000","-0.51","-0.61","0.47","1.65","2.55"
"setembro 1998","Brasil","1454.8600000000000","-0.22","-0.85","-0.09","1.42","2.27"
"outubro 1998","Brasil","1455.1500000000000","0.02","-0.71","-0.31","1.44","2.05"
"novembro 1998","Brasil","1453.4000000000000","-0.12","-0.32","-0.93","1.32","1.76"
"dezembro 1998","Brasil","1458.2000000000000","0.33","0.23","-0.62","1.65","1.65"
"janeiro 1999","Brasil","1468.4100000000000","0.70","0.91","0.20","0.70","1.65"
"fevereiro 1999","Brasil","1483.8300000000000","1.05","2.09","1.77","1.76","2.24"
"março 1999","Brasil","1500.1500000000000","1.10","2.88","3.11","2.88","3.02"
"abril 1999","Brasil","1508.5500000000000","0.56","2.73","3.67","3.45","3.35"
"maio 1999","Brasil","1513.0800000000000","0.30","1.97","4.11","3.76","3.14"
"junho 1999","Brasil","1515.9500000000000","0.19","1.05","3.96","3.96","3.32"
"julho 1999","Brasil","1532.4700000000000","1.09","1.59","4.36","5.09","4.57"
"agosto 1999","Brasil","1541.0500000000000","0.56","1.85","3.86","5.68","5.69"
"setembro 1999","Brasil","1545.8300000000000","0.31","1.97","3.05","6.01","6.25"
"outubro 1999","Brasil","1564.2300000000000","1.19","2.07","3.69","7.27","7.50"
"novembro 1999","Brasil","1579.0900000000000","0.95","2.47","4.36","8.29","8.65"
"dezembro 1999","Brasil","1588.5600000000000","0.60","2.76","4.79","8.94","8.94"
"janeiro 2000","Brasil","1598.4100000000000","0.62","2.19","4.30","0.62","8.85"
"fevereiro 2000","Brasil","1600.4900000000000","0.13","1.36","3.86","0.75","7.86"
"março 2000","Brasil","1604.0100000000000","0.22","0.97","3.76","0.97","6.92"
"abril 2000","Brasil","1610.7500000000000","0.42","0.77","2.97","1.40","6.77"
"maio 2000","Brasil","1610.9100000000000","0.01","0.65","2.02","1.41","6.47"
"junho 2000","Brasil","1614.6200000000000","0.23","0.66","1.64","1.64","6.51"
"julho 2000","Brasil","1640.6200000000000","1.61","1.85","2.64","3.28","7.06"
"agosto 2000","Brasil","1662.1100000000000","1.31","3.18","3.85","4.63","7.86"
"setembro 2000","Brasil","1665.9300000000000","0.23","3.18","3.86","4.87","7.77"
"outubro 2000","Brasil","1668.2600000000000","0.14","1.68","3.57","5.02","6.65"
"novembro 2000","Brasil","1673.6000000000000","0.32","0.69","3.89","5.35","5.99"
"dezembro 2000","Brasil","1683.4700000000000","0.59","1.05","4.26","5.97","5.97"
"janeiro 2001","Brasil","1693.0700000000000","0.57","1.49","3.20","0.57","5.92"
"fevereiro 2001","Brasil","1700.8600000000000","0.46","1.63","2.33","1.03","6.27"
"março 2001","Brasil","1707.3200000000000","0.38","1.42","2.48","1.42","6.44"
"abril 2001","Brasil","1717.2200000000000","0.58","1.43","2.93","2.00","6.61"
"maio 2001","Brasil","1724.2600000000000","0.41","1.38","3.03","2.42","7.04"
"junho 2001","Brasil","1733.2300000000000","0.52","1.52","2.96","2.96","7.35"
"julho 2001","Brasil","1756.2800000000000","1.33","2.27","3.73","4.32","7.05"
"agosto 2001","Brasil","1768.5700000000000","0.70","2.57","3.98","5.06","6.41"
"setembro 2001","Brasil","1773.5200000000000","0.28","2.32","3.88","5.35","6.46"
"outubro 2001","Brasil","1788.2400000000000","0.83","1.82","4.14","6.22","7.19"
"novembro 2001","Brasil","1800.9400000000000","0.71","1.83","4.45","6.98","7.61"
"dezembro 2001","Brasil","1812.6500000000000","0.65","2.21","4.58","7.67","7.67"
"janeiro 2002","Brasil","1822.0800000000000","0.52","1.89","3.75","0.52","7.62"
"fevereiro 2002","Brasil","1828.6400000000000","0.36","1.54","3.40","0.88","7.51"
"março 2002","Brasil","1839.6100000000000","0.60","1.49","3.73","1.49","7.75"
"abril 2002","Brasil","1854.3300000000000","0.80","1.77","3.70","2.30","7.98"
"maio 2002","Brasil","1858.2200000000000","0.21","1.62","3.18","2.51","7.77"
"junho 2002","Brasil","1866.0200000000000","0.42","1.44","2.94","2.94","7.66"
"julho 2002","Brasil","1888.2300000000000","1.19","1.83","3.63","4.17","7.51"
"agosto 2002","Brasil","1900.5000000000000","0.65","2.28","3.93","4.85","7.46"
"setembro 2002","Brasil","1914.1800000000000","0.72","2.58","4.05","5.60","7.93"
"outubro 2002","Brasil","1939.2600000000000","1.31","2.70","4.58","6.98","8.45"
"novembro 2002","Brasil","1997.8300000000000","3.02","5.12","7.51","10.22","10.93"
"dezembro 2002","Brasil","2039.7800000000000","2.10","6.56","9.31","12.53","12.53"
"janeiro 2003","Brasil","2085.6800000000000","2.25","7.55","10.46","2.25","14.47"
