ANO_MES;NÚMERO_ÍNDICE;NO_MÊS;3_MESES;6_MESES;NO_ANO;12_MESES;Valor Nominal (R$) - Jan/1994;Valor Real (R$) - JAN\2022
NOV\2018;5092,97;-0,21;0,72;2,23;3,59;4,05;;
DEZ\2018;5100,61;0,15;0,39;1,11;3,75;3,75;;
JAN\2019;5116,93;0,32;0,26;1,1;0,32;3,78;;
FEV\2019;5138,93;0,43;0,9;1,63;0,75;3,89;;
MAR\2019;5177,47;0,75;1,51;1,9;1,51;4,58;;
ABR\2019;5206,98;0,57;1,76;2,02;2,09;4,94;;
MAI\2019;5213,75;0,13;1,46;2,37;2,22;4,66;;
JUN\2019;5214,27;0,01;0,71;2,23;2,23;3,37;;
JUL\2019;5224,18;0,19;0,33;2,1;2,42;3,22;;
AGO\2019;5229,93;0,11;0,31;1,77;2,54;3,43;;
SET\2019;5227,84;-0,04;0,26;0,97;2,49;2,89;;
OUT\2019;5233,07;0,1;0,17;0,5;2,6;2,54;;
NOV\2019;5259,76;0,51;0,57;0,88;3,12;3,27;;
DEZ\2019;5320,25;1,15;1,77;2,03;4,31;4,31;;
JAN\2020;5331,42;0,21;1,88;2,05;0,21;4,19;;
FEV\2020;5344,75;0,25;1,62;2,2;0,46;4,01;;
MAR\2020;5348,49;0,07;0,53;2,31;0,53;3,3;;
ABR\2020;5331,91;-0,31;0,01;1,89;0,22;2,4;;
MAI\2020;5311,65;-0,38;-0,62;0,99;-0,16;1,88;;
JUN\2020;5325,46;0,26;-0,43;0,1;0,1;2,13;;
JUL\2020;5344,63;0,36;0,24;0,25;0,46;2,31;;
AGO\2020;5357,46;0,24;0,86;0,24;0,7;2,44;;
SET\2020;5391,75;0,64;1,24;0,81;1,34;3,14;;
OUT\2020;5438,12;0,86;1,75;1,99;2,22;3,92;;
NOV\2020;5486,52;0,89;2,41;3,29;3,13;4,31;;
DEZ\2020;5560,59;1,35;3,13;4,42;4,52;4,52;;
JAN\2021;5574,49;0,25;2,51;4,3;0,25;4,56;;
FEV\2021;5622,43;0,86;2,48;4,95;1,11;5,2;;
MAR\2021;5674,72;0,93;2,05;5,25;2,05;6,1;;
ABR\2021;5692,31;0,31;2,11;4,67;2,37;6,76;;
MAI\2021;5739,56;0,83;2,08;4,61;3,22;8,06;;
JUN\2021;5769,98;0,53;1,68;3,77;3,77;8,35;;
JUL\2021;5825,37;0,96;2,34;4,5;4,76;8,99;;
AGO\2021;5876,05;0,87;2,38;4,51;5,67;9,68;;
SET\2021;5944,21;1,16;3,02;4,75;6,9;10,25;;
OUT\2021;6018,51;1,25;3,32;5,73;8,24;10,67;;
NOV\2021;6075,69;0,95;3,4;5,86;9,26;10,74;;
DEZ\2021;6120,04;0,73;2,96;6,07;10,06;10,06;;
JAN\2022;6153,09;0,54;2,24;5,63;0,54;10,38;;
